Schwaiger and Abmayer 2013 - Accounting and Management Information Systems - A Semantic Integration.pdf
Not valid csv text, check the article
Li and Zhu 2008 - Generalized Stochastic Workflow net-based quantitative analysis of business process performance.pdf
customer retention,sim,"“the customer perspective: including performance indicators such as market share, customer satisfaction, customer retention, the rate of customers”"
rate of customers,sim,"“the customer perspective: including performance indicators such as market share, customer satisfaction, customer retention, the rate of customers”"
number of berths,sim,"“the business process perspective: including performance indicators such as the number of berths, yard area, mechanical equipment efficiency, the average working efficiency, the dispatching ability”"
yard area,sim,"“the business process perspective: including performance indicators such as the number of berths, yard area, mechanical equipment efficiency, the average working efficiency, the dispatching ability”"
mechanical equipment efficiency,sim,"“the business process perspective: including performance indicators such as the number of berths, yard area, mechanical equipment efficiency, the average working efficiency, the dispatching ability”"
average working efficiency,sim,"“the business process perspective: including performance indicators such as the number of berths, yard area, mechanical equipment efficiency, the average working efficiency, the dispatching ability”"
dispatching ability,sim,"“the business process perspective: including performance indicators such as the number of berths, yard area, mechanical equipment efficiency, the average working efficiency, the dispatching ability”"
staff turnover rate,sim,"“the innovation and learning perspective: including performance indicators such as staff turnover rate, the rate of staff training, or equipment renewal rate”"
rate of staff training,sim,"“the innovation and learning perspective: including performance indicators such as staff turnover rate, the rate of staff training, or equipment renewal rate”"
equipment renewal rate,sim,"“the innovation and learning perspective: including performance indicators such as staff turnover rate, the rate of staff training, or equipment renewal rate”"
enterprise profitability,sim,"“the financial perspective: including performance indicators such as the enterprise profitability, the business operation capacity, enterprise solvency and business development capacity.”"
business operation capacity,sim,"“the financial perspective: including performance indicators such as the enterprise profitability, the business operation capacity, enterprise solvency and business development capacity.”"
enterprise solvency,sim,"“the financial perspective: including performance indicators such as the enterprise profitability, the business operation capacity, enterprise solvency and business development capacity.”"
business development capacity,sim,"“the financial perspective: including performance indicators such as the enterprise profitability, the business operation capacity, enterprise solvency and business development capacity.”"
port yard usage,não,"“help to improve the performance indicators such as customer satisfaction, port yard usage, and port throughput”"
port throughput,não,"“help to improve the performance indicators such as customer satisfaction, port yard usage, and port throughput”"
financial performance indicators (generic),não,"“BI system can help control costs and provide an equitable basis for the development of pricing strategies, which help to improve the financial performance indicators of port enterprises;”"
HR performance indicators (generic),não,“BI system can provide a reasonable basis for setting indicators for the port Human Resources Performance Management.”
Yoganguina and Samba 2024 - Predictive Monitoring of Business Processes - A Case Study Using a Cumulative Fact Table Model.pdf
indicador,usado_para_construir_medidor,citacao_que_corrobora
Key Performance Indicators (KPIs),citado,"“This model is particularly advantageous for analyses where users need a snapshot of cumulative performance at specific moments, such as financial balances or key performance indicators (KPIs) [17].”"
Service Level Agreement (SLA),citado,“...essential for analyses such as bottleneck detection or SLA (Service Level Agreement) tracking.”
Delivery time,usado,"“The predictions generated are accurate, with an error rate of less than 5% for delivery time forecasts.”"
Execution time,citado,“...to predict indicators such as execution time or the likelihood of non-compliance [9].”
Likelihood of non-compliance,citado,“...to predict indicators such as execution time or the likelihood of non-compliance [9].”
Total processing time,citado,"“...queries for analyses such as total processing time, associated costs, or delivery times.”"
Associated costs,citado,"“...queries for analyses such as total processing time, associated costs, or delivery times.”"
On-time Delivery (OTD) rate,citado,"“Accurate delivery time forecasts can improve operational KPIs such as on-time delivery (OTD) rates, customer return rates, and logistics cost per unit.”"
Customer return rate,citado,"“Accurate delivery time forecasts can improve operational KPIs such as on-time delivery (OTD) rates, customer return rates, and logistics cost per unit.”"
Logistics cost per unit,citado,"“Accurate delivery time forecasts can improve operational KPIs such as on-time delivery (OTD) rates, customer return rates, and logistics cost per unit.”"
Return on Investment (ROI),citado,"“...financial KPIs such as return on investment (ROI), cost of goods sold (COGS), and operational profitability.”"
Cost of Goods Sold (COGS),citado,"“...financial KPIs such as return on investment (ROI), cost of goods sold (COGS), and operational profitability.”"
Operational profitability,citado,"“...financial KPIs such as return on investment (ROI), cost of goods sold (COGS), and operational profitability.”"
Eckert et al. 2008 - Queuing-based capacity planning approach for Web service workflows using optimization algorithms.pdf
Nome do indicador,Usado para construir medidores (SIM/NÃO),Trecho do texto que corrobora
Taxa de chegada (λ),SIM,“...o índice em que eles chegam ao servidor é denotado por λ com o tempo médio entre chegadas t = 1/λ.”
Taxa de serviço (μ),SIM,"“No servidor, os tempos de serviço são também distribuídos exponencialmente com o tempo médio de serviço x = 1/μ, onde μ denota a taxa na qual os jobs são processados.”"
Utilização (ρ),SIM,“A utilização ρi do servidor i pode ser calculada conforme mostrado na equação 3. ρi = λi / μi.”
Número médio de clientes no sistema (N),SIM,“O número médio de clientes N no sistema resulta em: N = ρ / (1 − ρ).”
Tempo médio no sistema / Tempo de resposta (T),SIM,“O tempo médio no sistema T é o tempo que um job passa no sistema (fila e servidor)... T = 1/(μ − λ).”
Vazão / Throughput (γ),SIM,"“...o throughput, respectivamente saída γ ... será o mesmo que a taxa de entrada λ.”"
Custo total do workflow (Cw),SIM,“O cálculo dos custos totais Cw para a execução completa do workflow pode ser feito pela soma de todos os custos para cada Web service invocado conforme mostrado na equação (9).”
Tempo de resposta máximo permitido (Tmax),SIM,“...o tempo médio de resposta do workflow deve ser limitado por um tempo médio de resposta máximo Tmax conforme mostrado na equação (8).”
Custo máximo permitido (Cmax),SIM,“...os custos totais da execução do workflow são restringidos por um limite Cmax...”
Tamanho máximo da fila (Nmax),SIM,“Para restringir o comprimento total da fila utiliza-se a restrição com o limite Nmax conforme descrito na equação (12).”
Niesen et al. 2016 - Towards an integrative big data analysis framework for data-driven risk management in industry 4.0.pdf
Modelo,Usado_para_construir_medidores,Texto_corroborativo
KPI hierarchy (Cost-Quality-Time),sim,"“Different levels within the hierarchy break down the above process performance dimensions cost, quality and time.”"
Level of allocation (PQ_PQ_LoA),sim,Tabela 3: “KPI profile … Name : Level of allocation … Scoring scheme : > 85 % = 10 points …”
Cycle time (PT_CT),sim,"“...to obtain a score for cycle time, the arithmetic mean of the scores of processing time, set-up time, transport time and waiting time is calculated.”"
Processing time (PT_CT_PT),sim,Mesma frase: “processing time …” aparece como indicador subordinado usado no cálculo.
Set-up time (PT_CT_ST),sim,Mesma frase: “set-up time …” aparece como indicador subordinado usado no cálculo.
Transport time (PT_CT_TT),sim,"“For instance, transport time denotes the total time that is spent for transport within a production process.”"
Waiting time (PT_CT_WT),sim,Tabela 4 (risk profile): “KPIs : … waiting time (PT_CT_WT) …”
Availability (technology) (PT_AVT),sim,Tabela 4 (risk profile): “KPIs : … availability (technology) (PT_AVT) …”
Number of failures (PT_AVT_NoF),sim,Tabela 4 (risk profile): “KPIs : … number of failures (PT_AVT_NoF) …”
Quatro-níveis de pontuação KPI (10-5-1-0),sim,"“The scoring builds on a four-stage scale ranging from 10 points (high performance) to 5 points, 1 point to 0 points (no considerable performance).”"
Ramírez-Nafarrate et al. 2017 - Impact on yard efficiency of a truck appointment system for a port terminal.pdf
indicador,usado_para_construir_medidores,trecho_corroborativo
Tempo médio de espera de caminhões (Mean truck waiting time),Sim,“Table 3 shows the 95 % confidence intervals of the estimated performance measures … Mean truck waiting time (min) 79.36 …”
Tempo máximo de espera de caminhões (Maximum truck waiting time),Sim,“Table 3 shows the 95 % confidence intervals … Maximum truck waiting time (min) 797.09 …”
Tamanho médio da fila de caminhões (Mean truck queue length),Sim,“Table 3 shows the 95 % confidence intervals … Mean truck queue length 9.80 …”
Tamanho máximo da fila de caminhões (Maximum truck queue length),Sim,“Table 3 shows the 95 % confidence intervals … Maximum truck queue length 102.94 …”
Utilização média dos guindastes (Mean crane utilization),Sim,“Table 3 shows the 95 % confidence intervals … Mean crane utilization (%) 54.18 …”
Número médio de re-manuseios de contêineres (Mean number of container rehandles per retrieved container),Sim,“Figure 9 shows the 95 % CI on the mean number of rehandles per retrieved container for the baseline and the different deviation scenarios …”
Tempo de giro dos caminhões (Truck turnaround time),Não,"“Currently, truck turnaround times are on average 80 min for export containers, but up to 4 h for import containers …” (mencionado apenas, não modelado nos experimentos)"
Tempo de giro do navio (Ship turnaround time),Não,"“The sequence on which export containers arrive to the port has a direct impact on the ship turnaround time, which is one of the most important key performance indicators of the port terminal.” (apenas citado, não utilizado nos medidores)"
Tempo de permanência do contêiner (Dwell time),Não,"“… the port terminal is facing significant congestion levels, where dwell times are very high compared to other ports …” (indicador citado como problema, sem cálculo no modelo)"
Gupta et al. 2023 - Analyzing the interaction of critical success factor for TQM implementation- A grey-DEMA℡ approach.pdf
Not valid csv text, check the article
Espinosa et al. 2004 - One step beyond - Making B2B decisions with business activity monitoring and soccer.pdf
Indicador,Constrói Medidores?,Trecho do texto que corrobora  
PS (Profit),sim,"“…profit (PS), commissions by sales agents (CM), general expenses (EX), cost of passives (CS), and indicators on service vs. support (BL). Eventually, these data will serve for the purpose of calculating reward on a daily basis.”  "
CM (Commissions),sim,"“…profit (PS), commissions by sales agents (CM), general expenses (EX), cost of passives (CS), and indicators on service vs. support (BL). Eventually, these data will serve for the purpose of calculating reward on a daily basis.”  "
EX (General Expenses),sim,"“…profit (PS), commissions by sales agents (CM), general expenses (EX), cost of passives (CS), and indicators on service vs. support (BL). Eventually, these data will serve for the purpose of calculating reward on a daily basis.”  "
CS (Cost of Passives),sim,"“…profit (PS), commissions by sales agents (CM), general expenses (EX), cost of passives (CS), and indicators on service vs. support (BL). Eventually, these data will serve for the purpose of calculating reward on a daily basis.”  "
BL (Balance Service vs Support),sim,"“…profit (PS), commissions by sales agents (CM), general expenses (EX), cost of passives (CS), and indicators on service vs. support (BL). Eventually, these data will serve for the purpose of calculating reward on a daily basis.”  "
Mokhtari and Noroozi 2018 - An efficient chaotic based PSO for earliness ... iness optimization in a batch processing flow shop scheduling problem.pdf
indicador,status,trecho  
Total penalty of earliness / tardiness (FBP_E/T),usado,“…we investigate a flowshop with BPs … and the objective is the minimization of the total earliness and tardiness penalties (henceforth referred to as FBP_E/T).”  
Makespan,citado,"“…most of the previous works in BP problems (listed in Table 1), considered a regular measure such as makespan, lateness and etc.” (além das diversas ocorrências da coluna “Performance measure” da Tabela 1 com o valor Makespan)  "
Maximum lateness,citado,Tabela 1 – linha “Wang and Uzsoy (2002) … Performance measure: Maximum lateness”  
Total weighted tardiness,citado,Tabela 1 – linha “Mönch et al. (2005) … Performance measure: Total weighted tardiness”  
Total completion time,citado,Tabela 1 – linha “Mazumdar et al. (2008) … Performance measure: Total completion time”  
Total tardiness,citado,Tabela 1 – linha “Lei and Guo (2011) … Performance measure: Total tardiness …”  
Maximum tardiness,citado,"Tabela 1 – linha “Lei and Guo (2011) … Performance measure: … maximum, tardiness …”  "
Number of tardy jobs,citado,Tabela 1 – linha “Lei and Guo (2011) … Performance measure: … number of tardy jobs”
Fellmann et al. 2018 - Process Modeling Recommender Systems - A Generic ... del and Its Application to a Smart Glasses-based Modeling Environment.pdf
Not valid csv text, check the article
Alves De Medeiros et al. 2007 - An outlook on Semantic business process mining and monitoring.pdf
Not valid csv text, check the article
Ahmad and Haque 2019 - An interactive framework to develop and align business process models.pdf
Modelo,Usado_para_construir_medidores,Trecho_citacao
Strategic Business Objectives (SBOs),Não,"“The framework also allows users to align processes with strategic business objectives, critical success factors, key performance indicators and functions.”"
Critical Success Factors (CSFs),Não,"“The framework also allows users to align processes with strategic business objectives, critical success factors, key performance indicators and functions.”"
Key Performance Indicators (KPIs),Sim,“The reporting is further augmented by drill-down and drill-through reports on specific KPIs.”
Maturity Level,Sim,“Tagging business processes with a maturity level assists the organization to know the current state of each process and provides an opportunity for managers and decision makers to improve underperforming processes.”
Process Type,Não,"“Finally, a process can also be classified as of a certain type (core, management and support).”"
Process Tier,Não,"“Similarly, a process can belong to a specified tier (strategic, tactical and operational).”"
Goldsman et al. 1999 - A ranking and selection project - experiences from a university-industry collaboration.pdf
ModeloIndicador,Utilização,Trecho
Average Weekly Profit,Usado para construir medidor,"“The performance measure is average weekly profit, where profit is equal to revenues minus costs; revenue is from the sale of radios and costs are inventory carrying costs, lost sales imputed cost, cost of reviewing inventory, and ordering and purchasing costs. The calculation of average weekly profit is included in the Visual SLAM model.”"
Mean Square Error (MSE),Usado para construir medidor,“A measure that has been proposed for evaluating initial conditions and clear (truncation) times is the mean square error (MSE) (Wilson and Pritsker 1978ab).”
Total Cost / Probability of Least Cost,Usado para construir medidor,“Four different scenarios are available to develop an AVLB and it is desired to select the scenario which has the highest probability of having the least total cost… Selection Objective: Select the project that has the least cost the greatest number of times.”
Azzini et al. 2014 - Driving knowledge acquisition via metric life-cycle in process intelligence.pdf
Modelo,Usado_para_construir_medidores,Trecho_que_corroborra  
Key Performance Indicator (KPI),Sim,"“Indeed, the aim of a metric corresponds to the achievement measurement of such KPIs, targets, risks or policies.”  "
Meta-métrica Descritiva (Descriptive Metrics),Sim,“Descriptive : describe the process data and the behavioral attributes; give a first analysis based on them.”  
Meta-métrica Prescritiva (Prescriptive Metrics),Sim,"“Prescriptive : evaluate the objective achievements, as well as KPI and policies violations.”  "
Meta-métrica Indutiva (Inductive Metrics),Sim,“Inductive : aimed at acquiring novel knowledge on the process through the evaluation of the statistic significance of the assumptions.”  
Métricas Estratégicas,Sim,“The system includes the definition of strategic and operative metrics…”  
Métricas Operacionais (Operative Metrics),Sim,“The system includes the definition of strategic and operative metrics…”  
Métricas sobre Políticas e Riscos,Sim,"“…metrics on policies and risks (violations, dysfunctional behavior)…”  "
Métricas de Segurança,Sim,"“…metrics on policies and risks (violations, dysfunctional behavior), security and Social Network Analysis (SNA) metrics…”  "
Métricas de Análise de Redes Sociais (SNA),Sim,“…security and Social Network Analysis (SNA) metrics and the development of a dashboard for their visualization…”  
Business Activity Monitoring (BAM),Não,"“…a large variety of buzzwords like Business Activity Monitoring (BAM), Business Operations Management (BOM)… exists in the area, and it is not trivial to define distinctions among all of them.”  "
Business Operations Management (BOM),Não,"“…a large variety of buzzwords like Business Activity Monitoring (BAM), Business Operations Management (BOM)… exists in the area…”  "
Business Process Intelligence (BPI),Não,“…a large variety of buzzwords like … Business Process Intelligence (BPI)… exists in the area…”  
Process Mining,Não,"“…a large variety of buzzwords like … Process Mining, and Business Operations Intelligence (BOI) exists in the area…”  "
Business Operations Intelligence (BOI),Não,"“…a large variety of buzzwords like … Process Mining, and Business Operations Intelligence (BOI) exists in the area…”"
Oliveira et al. 2016 - From the dark net to the cloudy data-Cloud network governance guidelines.pdf
Modelo,Uso,Trecho que corrobora  
GQM (Goal-Question-Metrics),Usado para construir medidores,"We have summarized the questions and goals within Table I by following the Goal, Question, Metrics (GQM) methodology [2]. We started with the definition of objectives that guided the creation of questions, and then the definition of at least one metric for each question.  "
SLA ⁄ SLO (Service Level Agreement ⁄ Service Level Objective),Usado para construir medidores,Service level agreement management: this module is responsible for storing the SLA constraints for each service. … Traffic compliance analysis: this module is responsible for verifying if the measured metrics actually meet the objectives (SLOs).  
COBIT, Apenas citado,Fig. 17 – Cloud network governance under COBIT perspective [6].  
Escala de Likert,Usado para construir medidores,Fig. 11 – Likert Scale for Question 11.
Maas et al. 2023 - Development of SCOR Database for Digitalisation of Supply Chain Customer Feedback Analysis.pdf
Modelo,Tipo_de_Uso,Trecho_de_Corroboração
SCOR (Supply Chain Operations Reference),Construir_medidores,“The authors suggest measuring its performance using key  indicators built based on the SCOR model and standardised supply chain performance metrics to keep an efficient and effective supply chain.”
BBN (Bayesian Belief Network),Construir_medidores,“Using the Process Code from the database… the authors suggest using the Bayesian Belief Network (BBN) to analyse supply chain reliability and find  the best practise that influence the strategic KPI the most.”
TOPSIS,Apenas_citado,"“The most commonly used methods for evaluating supply chain processes are Multi-criteria Analysis Methods (TOPSIS, AHP, FAHP) … Authors use those methods to combine the scores provided by the supply chain participant s to rank alternative solutions and select the best one.”"
AHP (Analytic Hierarchy Process),Apenas_citado,“AHP - Analytical Hierarchy Process … Structured technique for organising and analysing complex systems… For the aggregation of opinions from a group of respondents.”
FAHP (Fuzzy AHP),Apenas_citado,“Fuzzy AHP can be utilised as an approach for supplier selection problems.  Fuzzy AHP and Fuzzy TOPSIS are used for supplier  and partner  selection.”
Tan Chee Peng 2016 - Tan Chee Peng.pdf
modelo,usado_para_construir_medidores,citação
KPI-centric PPM/PMO automation,sim,"“… helps them to institutionalize their PPM practices via KPI-centric PPM/PMO automation to achieve integrated, near real-time PPM monitoring and controlling.”"
Benchmarks (benchmarking),sim,“… benchmarks & QAs their PPM processes …”
PPM-based Performance Management,sim,“… helping MNC clients in … PPM-based Performance Management …”
Wang et al. 2015 - Multi-objects scalable coordinated learning in internet of things.pdf
Indicador,Uso (Construir medidores/Citado),Trecho que corrobora  
Confiabilidade (Reliability),Construir medidores,"“Figure 4 shows the paradigms reliability of dynamic coordination task … In case of system reliability, baleful nodes participating is calculated according to the correctly send and received service information …”  "
Eficiência (Efficiency),Construir medidores,"“Figure 5 shows the another paradigms efficiency of dynamic coordination task … In case of system efficiency, enthusiasm of trustful nodes participating is calculated according to the correctly send and received service information …”  "
Disponibilidade / Robustez do Serviço (Service Availability / Robustness),Construir medidores,“The purpose of this experiment was to test service robustness … The service availability is benchmarked against the availability of services that used a system without fail-over capability and a system with fail-over capability with 2 and 3 redundant objects …”  
Escalabilidade (Scalability),Citado,"“Two experiments on tracking agricultural group of natural calamitous are to show the scalability, and efficiency service of smart agriculture in dynamic coordination environment …”"
Ragazou et al. 2023 - Business intelligence model empowering SMEs to make better decisions and enhance their competitive advantage.pdf
Modelo,Usado_para_construir_medidores,Trecho  
Balanced Scorecard,NÃO,"“Żółtowski D. Business intelligence in balanced scorecard: bibliometric analysis.” (citado apenas como referência bibliográfica, sem detalhar construção de indicadores)  "
Cadeia de Valor (Value Chain),SIM,"“Ultimately, the value chain helps an organization determine the ‘value’ its business activities have for its customers. This model emphasizes those activities where business strategies can best be implemented … By adding value and thereby creating competitive advantage, Business Intelligence could contribute to every activity in the value chain.” (indicando uso para identificar pontos de medição de valor nas atividades do processo)  "
Performance Measurement Systems,NÃO,"Tabela 3 menciona o artigo “Intellectual capital and performance measurement systems in Iran”, o que demonstra apenas a citação do modelo sem aplicação prática no texto principal."
Alksnis et al. 2015 - Lessons learned from experimental prototype development for KPI acquisition and modeling from legacy ERP systems.pdf
Modelo,Utilizado_para_construir_medidores,Trecho_de_corroboracao
Balanced Scorecard areas,sim,"“We have elicited 2 general KPIs from enterprise knowledge management metrics [19], 28 KPIs related to client orientation and internal processes of Balanced Scorecard areas [17]…”"
KPI Institute,sim,“KPI Institute and KPI Library have many suggestions for KPI identification… We have elicited 2 KPIs from KPI Institute …”
KPI Library,sim,"“…KPI Institute and KPI Library have many suggestions for KPI identification, however most of them are particular business specific. We have elicited … 20 KPIs from KPI Library (mostly related to project/program management).”"
APQC Process Classification Framework,sim,"“…as for the prototype general performance indicators were needed, we have elicited only twelve KPI candidates from more than 200 indicators.”"
Regra 10/80/10 de Parmenter,não,“Another way is to use the rule ‘10/80/10’ [9]. It means that an organization should have about ten Key Result Indicators (KRIs)… and ten KPIs.”
Método de modelagem por protocolo,não,“Modeling of KPIs can be carried out by at least two methods – a protocol modeling method and an alternative ‘attributes’ method.”
Método ‘attributes’,não,“Modeling of KPIs can be carried out by at least two methods – a protocol modeling method and an alternative ‘attributes’ method.”
Segev et al. 1995 - Electronic catalogs - a technology overview and survey results.pdf
Not valid csv text, check the article
Klaus 2000 - What is ERP.pdf
Modelo,Utilizado_para_construir_medidores,Trechos_de_corroboração
Balanced Scorecard,Sim,"1) “Rosemann and Wiese suggest a variant of the balanced scorecard approach to grasp the main impact of an installed system.”  2) “(E7, E11) Focus on timely performance management and ‘balanced scorecard’ approach.”"
Lima et al. 2022 - Framework proposal to support the suppliers’ selection of Humanitarian assistance items - a Flood Case Study in Brazil.pdf
Modelo,Usado_para_construir_medidores,Trecho_de_evidência  
Balanced Scorecard (BSC),Sim,"“We employ some tools as Balanced Scorecard (BSC) to achieve consensus on objectives, indicators, targets, and actions to be defined for a disaster situation.” / “Monitoring and Control: Defining instruments for the measurement and monitoring of processes from indicators defined in the BSC.”  "
Deprivation Level Functions (DLFs) – modelo de medição de desempenho,Não,“They developed a performance measurement model using Deprivation Level Functions (DLFs) to measure the efficiency and cost-effectiveness of an HL operation.”
Hoogendoorn et al. 2023 - Survey of Explainability within Process Mining - A case study of BPI challenge 2020.pdf
Indicador,Usado_para_construir_medidores?,Trecho_citacao
Fitness,Não,"“the best model to provide insight into a certain process is the one that strikes a balance between fitness (how well the model allows for the events in the log), simplicity, generalization and precision (not over-fitting or under-fitting) [3].”"
Simplicity,Não,"“the best model to provide insight into a certain process is the one that strikes a balance between fitness … simplicity, generalization and precision (not over-fitting or under-fitting) [3].”"
Generalization,Não,"“the best model to provide insight into a certain process is the one that strikes a balance between fitness, simplicity, generalization and precision (not over-fitting or under-fitting) [3].”"
Precision,Não,"“the best model to provide insight into a certain process is the one that strikes a balance between fitness, simplicity, generalization and precision (not over-fitting or under-fitting) [3].”"
Throughput,Sim,"“Out of the last 16 papers, 13 mentioned an ‘ideal process graph’ or process visualization/throughput analysis.”"
Zeng et al. 2008 - Using predictive analysis to improve invoice-to-cash collection.pdf
Indicador,Usado_na_modelagem,Excertos  
Average Days Delinquent (ADD),Sim,"""There are many metrics used to measure the collection effectiveness of a firm [...] For instance, Average Days Delinquent measures the average time from invoice due date to the paid date""; ""This formulation corresponds to using the Average Days Delinquent as the collections performance metric.""  "
Days Sales Outstanding (DSO),Não,"""A related metric, Days Sales Outstanding (DSO) expresses the average time in days that receivables are outstanding, computed as:""  "
Collection Effectiveness Index (CEI),Não,"""For example, one may use the Collection Effectiveness Index (CEI), which compares what was collected in a given period to what was available to collect, defined as:""  "
Número de faturas com mais de 90 dias de atraso,Sim,"""Several of our firms have a KPI objective to keep the number of invoices that are more than 90 days overdue below a specified limit""; ""To attain this objective we build models that are focused on being able to predict accurately for the 90+ class."""
Krueakam and Suharitdamrong 2019 - Supply Chain Operations Reference Mod ... ervice Process Model - A Case Study of Asian Aviation Training Centre.pdf
Modelo,Usado_para_construir_medidores?,Trecho_que_corrobora
"SCOR – atributos de desempenho (Reliability, Responsiveness, Agility, Cost, Assets Management Efficiency)",Sim,"“In SCOR, each process has its performance metrics to monitor overall supply chain performance which attributes: Reliability, Responsiveness, Agility, Cost, and Assets management efficiency. Each process is measured against these performance attributes; it has been widely used in the global organisation and commonly accepted.”"
"Metodologia de Avaliação de Processos (Feasibility, Usability, Usefulness – Adesola & Baines)",Sim,“The subsequent assessment procedure consisted of three categories of measurement and were [11]: • Feasibility … • Usability … • Usefulness … Evaluation results … showed that the company would benefit from being developed designed model.”
Chassiakos and Karatzas 2019 - Process centric building energy management-as-a-service.pdf
KPI,Categoria,Utilizado_para_construir_medidores (Sim/Não),Trecho_do_texto_que_justifica
Energy consumption,Eficiência Energética,Sim,Table 1 – KPI Description: “Calculation of total consumption by each individual component (BIM element)”
Energy cost,Eficiência Energética,Sim,Table 1 – KPI Description: “Calculation of total consumption costs”
Emissions,Eficiência Energética,Sim,Table 1 – KPI Description: “Calculation of total emissions”
Consumption per process,Desempenho de Processo de Negócio,Sim,Table 2 – KPI Description: “Total energy consumption per process (total / per minute)”
Equipment utilization rate,Desempenho de Processo de Negócio,Sim,Table 2 – KPI Description: “Time that selected equipment is in use or idle … depending on the scenario”
Time of process cycle completion,Desempenho de Processo de Negócio,Sim,Table 2 – KPI Description: “Average completion time in selected processes”
Visual comfort,Condições Ambientais,Sim,Table 3 – KPI Description: “Room brightness status”
Thermal comfort,Condições Ambientais,Sim,Table 3 – KPI Description: “Room temperature status”
Wu 2024 - Application of Adaptive Algorithms in Accounting Budget Forecasting.pdf
Modelo,Usado para construir medidores?,Trechos de corroboração  
Mean Absolute Error (MAE),Sim,"""We introduce the mean absolute error (MAE) as the key performance indicator of our prediction model (Formula 2)."" / ""Next, we will evaluate the performance of the prediction model using mean absolute error (MAE)…""  "
Root Mean Square Error (RMSE),Sim,"""Next, we will evaluate the performance of the prediction model using … root mean square error (RMSE)…"" / ""Table 1: Adaptive algorithm performance evaluation indicators – RMSE …""  "
Mean Absolute Percentage Error (MAPE),Sim,"""Next, we will evaluate the performance of the prediction model using … mean absolute percentage error (MAPE)…"" / ""Table 1: Adaptive algorithm performance evaluation indicators – MAPE …"""
Banditvilai and Araveeporn 2024 - Forecasting Models for Total Crude Palm Oil Productions in Thailand.pdf
indicador,usado_para_construir_medidores,trecho
MSE,sim,“The minimum mean square error (MSE) and residuals have normal distributions used to select the appropriate forecasting model” (Resumo)
RMSE,sim,"“The first set … was used to build the model, and the lowest value of Root Mean Square Error (RMSE) and residuals have a normal distribution used in model selection” (Seção 2)"
MAPE,sim,“the mean absolute percentage error (MAPE) was used to compute the efficiency of the forecasting model” (Resumo)  /  “The second set … measures performance using Mean Absolute Percentage Error (MAPE).” (Seção 2)
AIC,sim,“Akaike Information Criterion (AIC) … are used to select a single optimal model.” (Seção 2.3)
BIC,sim,“Bayesian Information Criterion (BIC) are used to select a single optimal model.” (Seção 2.3)
Darestani et al. 2013 - Improving purchasing performance by implementation of QMS process management approach in a manufacturing company.pdf
indicador_modelo,tipo_uso,trecho_extraido
Key Performance Indicator (KPI),Construir medidores,“Performance indicators were developed and measured accordingly.”
Capacidade de entrega (Delivery capability),Construir medidores,"“It shows that process management can improve delivery capability, quality and monitor price of supplied parts by suppliers.”"
Qualidade das peças fornecidas,Construir medidores,"“It shows that process management can improve delivery capability, quality and monitor price of supplied parts by suppliers.”"
Monitoramento de preço das peças fornecidas,Construir medidores,"“It shows that process management can improve delivery capability, quality and monitor price of supplied parts by suppliers.”"
Djordjevic et al. 2022 - Application of Modern Digital Systems and Approaches to Business Process Management.pdf
Modelo,Uso,Trecho
Fuzzy Analytic Hierarchy Process (FAHP),Usado para construir medidores,“Calculation of KPI weights is done by using the fuzzy analytic hierarchy process (FAHP).”
Triangular Intuitionistic Fuzzy Numbers (TIFNs),Usado para construir medidores,"“The relative importance of considered KPIs and their imprecise values are described by linguistic expressions, which are then modeled by triangular intuitionistic fuzzy numbers (TIFNs).”"
Artificial Neural Network (ANN),Usado para construir medidores,"“An optimal solution for BPM success improvement, respecting customer satisfaction indicators, is calculated using the Artificial Neural Network (ANN)… approaches.”"
Genetic Algorithm (GA),Usado para construir medidores,“…and Genetic Algorithm (GA) approaches.”  /  “…optimal solution for BPM success improvement… is calculated using … GA approaches.”
Fuzzy extended ELECTRE III,Citado apenas,"“In [53], the authors developed a fuzzy model … using the fuzzy extended ELECTRE III method for ranking considered sub-processes.”"
Modified TOPSIS com TIFNs,Citado apenas,“In that paper … Modified TOPSIS method with triangular intuitionistic fuzzy numbers (TIFNs) was used…”
Balanced Scorecard (BSC) com Fuzzy AHP/ANP,Citado apenas,"“Yüksel, I.; Dagdeviren, M. Using the fuzzy analytic network process (ANP) for Balanced Scorecard (BSC)….”"
FAHP com números fuzzy triangulares,Citado apenas,"“…FAHP with Triangular fuzzy numbers, developed in [70] and used in [71,72]…”"
FAHP com números fuzzy trapezoidais,Citado apenas,"“…FAHP with Trapezoidal fuzzy numbers applied in [73,74]…”"
FAHP com conjuntos fuzzy intervalares tipo-2,Citado apenas,"“…FAHP with the interval type-2 triangular or trapezoidal fuzzy numbers used in [75,76]…”"
Buchner and Riehle 2023 - The Business Impact of Inner Source and How to Quantify It.pdf
"KPI (Key Performance Indicator);Sim;""To account for the impact of inner source", key performance indicators (KPIs) [3," 16] and the Goal-Question-Metric (GQM) principle [6] are often used.""  "
"GQM (Goal-Question-Metric);Sim;""To account for the impact of inner source", key performance indicators (KPIs) [3," 16] and the Goal-Question-Metric (GQM) principle [6] are often used."""
Ribeiro et al. 2024 - Modeling inter-organizational business process governance in the age of collaborative networks.pdf
Modelo,Usado_para_construir_medidores,Trecho_relevante  
Key Performance Indicators (KPIs),não,“Goals alignment Clarify the high-level business and strategic goals and the corresponding key performance indicators (KPIs)” (Tabela 1)  
